Thread ID: 15070140
Fiber ID: 68236160
Total: 6503.513376
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09    244.022     6.156     0.000   237.866  2028402   Arel::Visitors::ToSql#visit_Arel_Nodes_And 
  0.09      6.104     6.103     0.000     0.000  4514822   ActiveRecord::AttributeMethods::Read::ClassMethods#cached_attributes 
  0.09    662.185     5.944     0.000   656.241  2028405   ActiveSupport::Notifications::Fanout#finish 
  0.09      5.919     5.919     0.000     0.000  8197457   #<Class:0x00000001ff7728>#relation 
  0.09   1051.062     5.894     0.000  1045.168  2028405   ActiveRecord::ConnectionAdapters::AbstractMysqlAdapter#execute 
  0.09      5.868     5.868     0.000     0.000  5071006   NilClass#to_s 
  0.09      5.862     5.862     0.000     0.000  6086716   Array#last 
  0.09     93.075     5.856     0.000    87.219  2028402   Logger::LogDevice#write 
  0.09      5.851     5.851     0.000     0.000  4059740   Struct#initialize 
  0.09   3640.237     5.850     0.000  3634.386  2025979   ActiveRecord::AssociationRelation#exec_queries 
  0.09      8.139     5.821     0.000     2.318  2973855   ActiveRecord::Scoping::ScopeRegistry#raise_invalid_scope_type! 
  0.09    667.945     5.760     0.000   662.185  2028405   ActiveSupport::Notifications::Instrumenter#finish 
  0.09   2834.194     5.759     0.000  2828.436  1997540   Membership::GeneratedAssociationMethods#element 
  0.09      5.758     5.758     0.000     0.000  2028402   Arel::TreeManager#initialize 
  0.09     10.377     5.748     0.000     4.629  2001431   ActiveRecord::QueryMethods#limit! 
  0.09      5.746     5.746     0.000     0.000  4056362   ActiveRecord::Relation::Merger#filter_binds 
  0.09     15.976     5.685     0.000    10.291  2999246   ActiveRecord::Reflection::AssociationReflection#check_validity_of_inverse! 
  0.09    573.382     5.629     0.000   567.753  2028402   ActiveRecord::QueryMethods#arel 
  0.09   3198.494     5.602     0.000  3192.892  1997540   Element::GeneratedAssociationMethods#entity 
  0.09      5.600     5.600     0.000     0.000  2000476   ActiveRecord::QueryMethods#extending_values= 
  0.09     53.455     5.597     0.000    47.858  2028402   Logger#format_message 
  0.09   3656.415     5.563     0.000  3650.852  2028402   ActiveRecord::Relation#to_a 
  0.09    213.000     5.552     0.000   207.449  2028402   Enumerable#to_a 
  0.08      5.520     5.520     0.000     0.000  6343138   String#hash 
  0.08      7.706     5.518     0.000     2.188  2001431   ActiveRecord::ConnectionAdapters::DatabaseStatements#sanitize_limit 
  0.08     12.847     5.464     0.000     7.383  2028402   Arel::Visitors::ToSql#visit_Arel_Table 
  0.08     35.482     5.415     0.000    30.067  2142158   Arel::Nodes::Binary#hash 
  0.08    109.104     5.406     0.000   103.698  2027447   Arel::Visitors::BindVisitor#visit_Arel_Nodes_BindParam 
